Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,81.82%,90.00%,93.87%,85.71%,11/110
1-SC,66,64.29%,81.82%,92.56%,72.00%,12/66
2-T,108,87.13%,81.48%,96.40%,84.21%,20/108
3-TCT,31,75.00%,48.39%,98.86%,58.82%,16/31
4-SCH,19,63.64%,36.84%,99.11%,46.67%,12/19
5-NO,87,78.65%,80.46%,95.03%,79.55%,17/87
6-MC,33,50.00%,48.48%,96.33%,49.23%,17/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,72.79%,65.93%,96.46%,68.18%,111/469
