Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.00%,92.73%,94.99%,88.70%,8/110
1-SC,66,67.09%,80.30%,93.55%,73.10%,13/66
2-T,108,91.43%,88.89%,97.51%,90.14%,12/108
3-TCT,31,83.33%,64.52%,99.09%,72.73%,11/31
4-SCH,19,80.00%,63.16%,99.33%,70.59%,7/19
5-NO,87,80.22%,83.91%,95.29%,82.02%,14/87
6-MC,33,84.00%,63.64%,99.08%,72.41%,12/33
7-HGSC,15,100.00%,66.67%,100.00%,80.00%,5/15
Macro Average,469,83.88%,75.48%,97.35%,78.71%,82/469
