Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,83.19%,90.00%,94.43%,86.46%,11/110
1-SC,66,67.50%,81.82%,93.55%,73.97%,12/66
2-T,108,87.25%,82.41%,96.40%,84.76%,19/108
3-TCT,31,78.26%,58.06%,98.86%,66.67%,13/31
4-SCH,19,75.00%,63.16%,99.11%,68.57%,7/19
5-NO,87,76.67%,79.31%,94.50%,77.97%,18/87
6-MC,33,69.57%,48.48%,98.39%,57.14%,17/33
7-HGSC,15,62.50%,66.67%,98.68%,64.52%,5/15
Macro Average,469,74.99%,71.24%,96.74%,72.51%,102/469
