Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,78.86%,88.18%,92.76%,83.26%,13/110
1-SC,66,64.63%,80.30%,92.80%,71.62%,13/66
2-T,108,84.47%,80.56%,95.57%,82.46%,21/108
3-TCT,31,76.19%,51.61%,98.86%,61.54%,15/31
4-SCH,19,70.00%,36.84%,99.33%,48.28%,12/19
5-NO,87,76.09%,80.46%,94.24%,78.21%,17/87
6-MC,33,51.61%,48.48%,96.56%,50.00%,17/33
7-HGSC,15,100.00%,46.67%,100.00%,63.64%,8/15
Macro Average,469,75.23%,64.14%,96.27%,67.38%,116/469
