Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,81.55%,76.36%,94.71%,78.87%,26/110
1-SC,66,62.32%,65.15%,93.55%,63.70%,23/66
2-T,108,72.38%,70.37%,91.97%,71.36%,32/108
3-TCT,31,68.00%,54.84%,98.17%,60.71%,14/31
4-SCH,19,63.64%,36.84%,99.11%,46.67%,12/19
5-NO,87,62.96%,78.16%,89.53%,69.74%,19/87
6-MC,33,58.82%,60.61%,96.79%,59.70%,13/33
7-HGSC,15,50.00%,46.67%,98.46%,48.28%,8/15
Macro Average,469,64.96%,61.12%,95.29%,62.38%,147/469
