epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_time_seconds
1,2.1083864088058473,0.398,0.2654505815433017,1.935106599763004,0.5607675906183369,0.3682110732246848,0.33669015660811336,0.0001,11.777063846588135
2,1.897355444908142,0.522,0.37631783379713196,1.837261550970423,0.5863539445628998,0.3991313016490846,0.38201228020080474,0.0001,11.071983814239502
3,1.814252110004425,0.557,0.42421428972279357,1.8081099610847196,0.5863539445628998,0.4405892812755702,0.4379842765938514,0.0001,11.093983888626099
4,1.8081912021636963,0.572,0.46097007223998343,1.7755952776113808,0.6353944562899787,0.4858110294739444,0.4930040279836636,2.5e-05,32.95246720314026
5,1.6711536827087403,0.622,0.49882967143860435,1.6862266805888748,0.6567164179104478,0.5171837291597552,0.511767854483596,2.5e-05,32.84639310836792
6,1.547951365709305,0.679,0.5871860873456831,1.6806658628398676,0.6417910447761194,0.5132273314196942,0.5112848451726082,2.5e-05,32.87379288673401
7,1.4647273573875428,0.723,0.6523873321947914,1.614214019226367,0.6695095948827292,0.6095552937804563,0.5753688057834966,2.5e-05,32.92876219749451
8,1.405101648569107,0.742,0.6710567327839647,1.6506783237843625,0.6588486140724946,0.5443776232949876,0.5372616483854578,2.5e-05,32.899285078048706
9,1.3186182696819306,0.783,0.7234475980000432,1.6056141855874295,0.6950959488272921,0.5941102191932792,0.5812190642899763,2.5e-05,32.90202975273132
10,1.2400020275115966,0.802,0.7520180371019121,1.6042021459607936,0.7036247334754797,0.6365808697793066,0.6222853224643092,2.5e-05,32.886850118637085
11,1.1568164067268372,0.842,0.801866049062965,1.6028179115832233,0.7292110874200426,0.6511741379507465,0.6436285972056413,2.5e-05,32.84399700164795
12,1.1018440619707108,0.87,0.8371908537221184,1.651898714525105,0.67590618336887,0.5811990112667766,0.5720896113506716,2.5e-05,32.9525101184845
13,1.075090223312378,0.873,0.844228238955604,1.6073039188059663,0.6993603411513859,0.6414658286906691,0.6305306087725644,2.5e-05,32.907613039016724
14,1.038969173192978,0.891,0.87234717455641,1.6810805807744007,0.7014925373134329,0.6389525093055332,0.6142596740123067,2.5e-05,32.930625915527344
15,1.0010220334529876,0.895,0.8683412743672119,1.6852375213017088,0.6801705756929638,0.6065387127524883,0.5812845853200869,1.25e-05,32.90981197357178
16,0.9648230810165406,0.913,0.8883465027256465,1.643708535348937,0.7164179104477612,0.6393049496585589,0.6327375213523556,1.25e-05,32.887500047683716
17,0.8932105351686478,0.952,0.9456758510037736,1.6060785116163143,0.7185501066098081,0.654172572868785,0.6403289293848662,1.25e-05,32.92298412322998
18,0.8872383496761322,0.947,0.9367879441370279,1.6121063791612573,0.720682302771855,0.6492457555671067,0.6382559032659596,1.25e-05,32.881317138671875
19,0.8829193422794342,0.954,0.9484117119416178,1.5937701351861202,0.7142857142857143,0.617633100712253,0.6182237636048651,6.25e-06,32.789947748184204
20,0.87003449010849,0.962,0.9595309420791333,1.6071587811146717,0.7292110874200426,0.6435098464791544,0.6362149842401965,6.25e-06,32.837862968444824
21,0.8500334082841873,0.964,0.962655511212455,1.5891372814361475,0.7121535181236673,0.6372634747155413,0.6239908774477321,6.25e-06,32.83840823173523
