epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_precision,train_malignant_recall,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_malignant_recall,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.18216015586373638,0.8385416666666666,0.7048145311303207,0.5106382978723404,0.5052631578947369,0.5079365079365079,0.09160702307668846,0.9253731343283582,0.4779735682819383,0.0,0.0,0.9559471365638766,0.0,0.0001,16.683337926864624
2,0.15654001242046434,0.9201388888888888,0.8360323886639676,0.7848837209302325,0.7105263157894737,0.7458563535911602,0.08867616040357473,0.9317697228144989,0.6102055800293685,0.16,0.26666666666666666,0.9537444933920705,0.2,0.0001,16.061526775360107
3,0.12054645033638936,0.9392361111111112,0.8770324980851296,0.8370786516853933,0.7842105263157895,0.8097826086956522,0.10296022897452932,0.9125799573560768,0.6002936857562409,0.11764705882352941,0.26666666666666666,0.933920704845815,0.16326530612244897,0.0001,16.058177709579468
4,0.28905323349214107,0.921875,0.8370718897034686,0.7941176470588235,0.7105263157894737,0.75,0.0837706686090667,0.9552238805970149,0.4933920704845815,0.0,0.0,0.986784140969163,0.0,2.5e-05,41.138039112091064
5,0.2117437047489549,0.9487847222222222,0.8890852390852391,0.8786127167630058,0.8,0.837465564738292,0.27818471578170983,0.9701492537313433,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,2.5e-05,40.974071979522705
6,0.14463335841411515,0.9539930555555556,0.9090983696246854,0.8743169398907104,0.8421052631578947,0.8579088471849866,0.1963691089131808,0.9680170575692963,0.6611600587371512,0.5,0.3333333333333333,0.9889867841409692,0.4,2.5e-05,41.09341597557068
7,0.16981021139119978,0.9652777777777778,0.9179669548090601,0.936046511627907,0.8473684210526315,0.8895027624309392,0.18957760152708814,0.9744136460554371,0.728928046989721,0.6363636363636364,0.4666666666666667,0.9911894273127754,0.5384615384615384,2.5e-05,41.158888816833496
8,0.09106140122798966,0.9704861111111112,0.9400919137761243,0.9239130434782609,0.8947368421052632,0.9090909090909091,0.1857892790041354,0.9445628997867804,0.6168135095447871,0.21052631578947367,0.26666666666666666,0.9669603524229075,0.23529411764705882,2.5e-05,41.12667512893677
9,0.07722871656061082,0.9756944444444444,0.9495459021774811,0.9402173913043478,0.9105263157894737,0.9251336898395722,0.2502809686408504,0.9658848614072495,0.6278267254038179,0.4444444444444444,0.26666666666666666,0.9889867841409692,0.3333333333333333,2.5e-05,41.095381021499634
10,0.08960184544492572,0.9809027777777778,0.9611117190064559,0.9516129032258065,0.9315789473684211,0.9414893617021277,0.20616450983419457,0.9701492537313433,0.7267254038179148,0.5384615384615384,0.4666666666666667,0.986784140969163,0.5,2.5e-05,41.03636193275452
11,0.05012766114655376,0.984375,0.9716380347959295,0.9526315789473684,0.9526315789473684,0.9526315789473684,0.3261340846893788,0.9701492537313433,0.6300293685756241,0.5714285714285714,0.26666666666666666,0.9933920704845814,0.36363636363636365,1.25e-05,41.124757051467896
12,0.036768611544216116,0.9878472222222222,0.9716052084473137,0.9782608695652174,0.9473684210526315,0.9625668449197861,0.21818330386743723,0.9530916844349681,0.7179148311306902,0.3333333333333333,0.4666666666666667,0.9691629955947136,0.3888888888888889,1.25e-05,41.015097856521606
13,0.0236218790519029,0.9895833333333334,0.9789801947696685,0.973404255319149,0.9631578947368421,0.9682539682539683,0.2314265023979947,0.9530916844349681,0.7501468428781204,0.34782608695652173,0.5333333333333333,0.9669603524229075,0.42105263157894735,1.25e-05,40.93527603149414
14,0.03041539014217524,0.9878472222222222,0.9779406937301673,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.27568105727509734,0.9744136460554371,0.728928046989721,0.6363636363636364,0.4666666666666667,0.9911894273127754,0.5384615384615384,1.25e-05,40.92566919326782
15,0.011730535833626161,0.9947916666666666,0.9863223547434075,0.9946236559139785,0.9736842105263158,0.9840425531914894,0.26126686326429654,0.9680170575692963,0.6933920704845815,0.5,0.4,0.986784140969163,0.4444444444444444,6.25e-06,40.85251307487488
16,0.00808279685670052,0.9965277777777778,0.9936973410657621,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.28886298453635145,0.9616204690831557,0.6900881057268722,0.4,0.4,0.9801762114537445,0.4,6.25e-06,40.93930506706238
17,0.003874807966531343,0.9973958333333334,0.9963289200131306,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.2954248314794601,0.9701492537313433,0.7267254038179148,0.5384615384615384,0.4666666666666667,0.986784140969163,0.5,6.25e-06,41.041141986846924
18,0.021876266728437357,0.9956597222222222,0.9889539336907758,0.9946524064171123,0.9789473684210527,0.986737400530504,0.27201523162279245,0.9658848614072495,0.7245227606461087,0.4666666666666667,0.4666666666666667,0.9823788546255506,0.4666666666666667,6.25e-06,40.81921887397766
19,0.003941815592193258,0.9973958333333334,0.9963289200131306,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.28903045037961267,0.9701492537313433,0.6944933920704845,0.5454545454545454,0.4,0.9889867841409692,0.46153846153846156,3.125e-06,40.76584982872009
