Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Accuracy,Macro ROC-AUC
Swin-T,0.7739872068230277,0.7043353839706512,0.762940957906793,0.7043353839706512,0.7259525237074055,0.7725207376813967,0.9253731343283582,0.9371794203918338
DenseNet121,0.7484008528784648,0.6662535737820412,0.7254583294904474,0.6662535737820412,0.6853499663130123,0.7450653120074372,0.9168443496801706,0.9270207634154055
EfficientNet-B3,0.7270788912579957,0.6712682276682482,0.6936576465983413,0.6712682276682482,0.6791091830434028,0.7276718784852515,0.9232409381663113,0.9238002541980761
ResNet50,0.7398720682302772,0.6727193152471971,0.7017319246478172,0.6727193152471971,0.6781563728114771,0.736444734358315,0.9147121535181236,0.9090571105258913
ViT-B/16,0.6823027718550106,0.623177798662621,0.6586694892886313,0.623177798662621,0.6340164499224886,0.6836685330301382,0.9019189765458422,0.9077949131541221
