epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_time_seconds
1,2.126818651676178,0.372,0.23563018363329985,1.9753660116114342,0.4968017057569296,0.3271096857870905,0.2862396465296298,0.0001,37.39134120941162
2,1.9181574997901916,0.516,0.3682749515294542,1.904440555999528,0.5522388059701493,0.3833421716925317,0.3635960336490529,0.0001,21.004164218902588
3,1.831116201877594,0.56,0.42045215350420445,1.8641938156664752,0.5543710021321961,0.40879577146481894,0.39817458433777103,0.0001,18.82139015197754
4,1.8063185658454894,0.541,0.43324988167298617,1.7609134981118795,0.6204690831556503,0.48239986018292325,0.48634481212639685,2.5e-05,51.79473805427551
5,1.7023078708648682,0.609,0.4952633849429747,1.726836472431988,0.6311300639658849,0.49323222417962187,0.49441640458960245,2.5e-05,47.92036032676697
6,1.5825365574359893,0.663,0.5662376098998634,1.7039760203758028,0.6375266524520256,0.5355593937245333,0.5183830172527584,2.5e-05,48.761046171188354
7,1.4950322918891907,0.701,0.6162334383457803,1.6616242768159553,0.6460554371002132,0.5722234147970346,0.5376609770908798,2.5e-05,48.40776705741882
8,1.4263827168941499,0.73,0.6524857398213448,1.6718767179863285,0.6460554371002132,0.5510697765666737,0.5389382016590558,2.5e-05,48.37800216674805
9,1.3057667019367218,0.773,0.7140669237035219,1.6438276747396505,0.6396588486140725,0.5784492010931475,0.5578795795457998,2.5e-05,48.5536208152771
10,1.2546165342330933,0.801,0.7534795187797041,1.6228323608064956,0.6908315565031983,0.6026978284493946,0.5947934982549044,2.5e-05,49.502567291259766
11,1.1975663616657257,0.824,0.7839364630754942,1.6395181376796795,0.697228144989339,0.6232662450865425,0.604126994923958,2.5e-05,49.18666100502014
12,1.1343719863891601,0.852,0.8169151576234193,1.6494564425462344,0.6865671641791045,0.6268853425065005,0.6175023098770283,2.5e-05,48.531733989715576
13,1.1128640345335006,0.858,0.820299791326909,1.649377622584036,0.7057569296375267,0.6306291810342364,0.6216833493454954,2.5e-05,49.735344886779785
14,1.0804711738824844,0.867,0.8362066237029528,1.6586161681583949,0.7014925373134329,0.6426403522570316,0.6098707662860919,2.5e-05,49.58272409439087
15,1.0019142462015151,0.899,0.8726829577324611,1.7108232459025596,0.6865671641791045,0.6302676731702404,0.6057002647192796,2.5e-05,48.23332691192627
16,1.0241139703989028,0.891,0.867028709673984,1.630037238857131,0.7121535181236673,0.6485243032455579,0.6331172094237421,2.5e-05,49.59977602958679
17,0.968414812207222,0.922,0.9060331324097068,1.618994580148888,0.7036247334754797,0.6445658271235667,0.6162780265720654,2.5e-05,49.79700708389282
18,0.9485578141212463,0.922,0.9002531450888337,1.6496130858403024,0.7164179104477612,0.6365808747073016,0.6365835438755585,2.5e-05,47.39167785644531
19,0.9308793032169342,0.936,0.9254289947567524,1.594548328344756,0.7121535181236673,0.6358784481428061,0.6233373365180971,2.5e-05,49.274457693099976
20,0.90891181910038,0.943,0.9325752581839022,1.6216550605383508,0.7078891257995735,0.642366356961887,0.6394001378920146,2.5e-05,49.744016885757446
21,0.8925126852989197,0.948,0.9428812035262943,1.6699260531712188,0.7078891257995735,0.6407579246596282,0.6191137784298162,2.5e-05,48.04408597946167
22,0.8754633877277375,0.952,0.9407885092024673,1.6429317739726639,0.6993603411513859,0.6415717350012035,0.6240690454577302,2.5e-05,49.1906361579895
23,0.8730039739608765,0.952,0.9454384936456504,1.645984741416313,0.7142857142857143,0.6348358519330652,0.6287331863858597,2.5e-05,49.53922390937805
24,0.8495394402742386,0.963,0.9606181007740278,1.648048459848107,0.7078891257995735,0.6520599512286182,0.6342582880063328,1.25e-05,48.85561275482178
25,0.8523819431066513,0.962,0.9513115460816561,1.6067901562526028,0.7334754797441365,0.6638340045755449,0.660348430854631,1.25e-05,47.86340403556824
26,0.8143850671052932,0.976,0.9730904281892911,1.606720562936909,0.7249466950959488,0.6490483844356569,0.6432550810090255,1.25e-05,49.429081201553345
27,0.8166251492500305,0.972,0.9660982685300953,1.629111735551342,0.7270788912579957,0.6588809703399745,0.6592709347438486,1.25e-05,49.24945521354675
28,0.8131893773078919,0.976,0.9712935237541093,1.6110773856705949,0.7228144989339019,0.6543485774455127,0.6535859827027104,1.25e-05,47.181742668151855
29,0.8023605397939682,0.976,0.9670247989335856,1.6367871496977329,0.7121535181236673,0.6532109263704311,0.6465348022840226,6.25e-06,49.395455837249756
30,0.7888506954908371,0.983,0.9798739670799494,1.6215954477598926,0.7292110874200426,0.6611874050991344,0.6552292016050612,6.25e-06,49.22878885269165
31,0.7862580194473267,0.981,0.9798704734134188,1.6338997985254218,0.7249466950959488,0.6478211461057899,0.6437414104500322,6.25e-06,48.329050064086914
32,0.7874827264547348,0.984,0.9858152016115167,1.634954353639566,0.7164179104477612,0.6331987263793803,0.6261885730650611,6.25e-06,48.33917427062988
33,0.7925022875070572,0.982,0.9810580853844798,1.634797222832881,0.720682302771855,0.6389471402548799,0.6336823948000846,3.125e-06,49.508970975875854
34,0.7834363155364991,0.986,0.9860193391957794,1.6449467322465454,0.720682302771855,0.646733569620842,0.6403992366081462,3.125e-06,49.585455656051636
35,0.7693599668741227,0.988,0.9864210539310889,1.6145361547531096,0.7356076759061834,0.657404938481866,0.657245537552458,3.125e-06,47.67877817153931
36,0.7864837943315506,0.985,0.9875571355934507,1.6253096513402487,0.7356076759061834,0.6623027249644543,0.6632645633004941,3.125e-06,49.3892240524292
37,0.777046754360199,0.984,0.9800137604358017,1.60805207071528,0.7398720682302772,0.6655984510424384,0.6661556299737261,3.125e-06,49.536574840545654
38,0.7862043939828872,0.981,0.9785115470116318,1.641142960804612,0.7249466950959488,0.647203391120975,0.6439791689433717,3.125e-06,47.15020179748535
39,0.7788959800004959,0.986,0.9841268303460525,1.632569560364111,0.7398720682302772,0.6715609308647627,0.6711193410466434,3.125e-06,50.040350914001465
40,0.7700515053272248,0.995,0.993156976349775,1.6347585494584367,0.7228144989339019,0.6565871992962035,0.6534124781270433,3.125e-06,49.164371967315674
41,0.7804207516908646,0.985,0.9818755918687881,1.636662263351717,0.7313432835820896,0.6599739589955327,0.6595983576863388,3.125e-06,47.749449253082275
42,0.7779296829700469,0.988,0.9893968623168703,1.6362493078845906,0.7228144989339019,0.6499034260801722,0.646796703717403,3.125e-06,48.67483377456665
43,0.7793473119735718,0.987,0.9853807519546285,1.6245714042232489,0.7377398720682303,0.6712993652052401,0.667988605860411,1.5625e-06,48.99188590049744
44,0.7755221930742264,0.987,0.9866184204249469,1.6339544192560191,0.7377398720682303,0.6632263100927114,0.6631913506168815,1.5625e-06,48.31617832183838
45,0.7765452553033829,0.987,0.9859783060220058,1.6304625153287386,0.7334754797441365,0.6628475222139235,0.6616211127509607,1.5625e-06,47.59899115562439
46,0.7769424382448197,0.989,0.988269685567434,1.6318775359501463,0.7292110874200426,0.6576368129709562,0.6534048933213986,1.5625e-06,49.161681175231934
47,0.7746597129106522,0.991,0.9910445480604024,1.6375481548594004,0.7292110874200426,0.6550623802866792,0.6523579505442476,7.8125e-07,49.46925973892212
48,0.7712510011196136,0.988,0.9896857266094101,1.6339082715353732,0.7292110874200426,0.6584154324995757,0.6555936369404298,7.8125e-07,47.07795715332031
49,0.768061401128769,0.99,0.9893765170979426,1.6303225936157617,0.7270788912579957,0.6562421189038483,0.6532494012672889,7.8125e-07,49.743093967437744
50,0.777358666062355,0.987,0.9855973004990125,1.6398467682063707,0.7334754797441365,0.660231001987559,0.6589100795749645,7.8125e-07,49.1282320022583
