epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.9090522024718363,0.96,0.498960498960499,0.0,0.7082821188475884,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,29.083114862442017
2,0.6187462790048781,0.96,0.5242367873946822,0.09090909090909091,1.0692658454642086,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,27.586989164352417
3,0.6331543997443049,0.961,0.5121183936973411,0.04878048780487805,0.2743378730473056,0.9530916844349681,0.4922907488986784,0.0,0.0,0.9845814977973568,0.0,0.0001,27.318873167037964
4,0.8844278626899098,0.962,0.5252762884341832,0.09523809523809523,0.8175475122862932,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,69.09701013565063
5,0.8300449212583492,0.961,0.4994802494802495,0.0,0.32056672652687684,0.9701492537313433,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,2.5e-05,67.38309979438782
6,0.8760815224789756,0.963,0.5637104716052085,0.2127659574468085,0.8244598898056522,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,67.57188606262207
7,0.6306949397838264,0.964,0.5895065105591422,0.28,0.8292023030114096,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,67.43927812576294
8,0.40338628634771395,0.972,0.7326841011051537,0.5625,0.37012888581242087,0.9275053304904051,0.6402349486049926,0.1724137931034483,0.3333333333333333,0.947136563876652,0.22727272727272727,2.5e-05,67.11779999732971
9,0.43705847171395457,0.972,0.694769668453879,0.5172413793103449,0.7689147622236451,0.976545842217484,0.6333333333333333,1.0,0.26666666666666666,1.0,0.42105263157894735,2.5e-05,66.62860608100891
10,0.2722228759453222,0.983,0.8142302221249589,0.7384615384615385,0.4996329429387604,0.9189765458422174,0.7002936857562408,0.1891891891891892,0.4666666666666667,0.933920704845815,0.2692307692307692,2.5e-05,66.26810312271118
11,0.2722717145030237,0.978,0.7863551810920233,0.6666666666666666,0.8571883100644503,0.9701492537313433,0.6622613803230544,0.5555555555555556,0.3333333333333333,0.9911894273127754,0.4166666666666667,2.5e-05,66.987952709198
12,0.09618766390348624,0.988,0.9052959842433527,0.8378378378378378,0.6551560039406185,0.9339019189765458,0.6757709251101321,0.21428571428571427,0.4,0.9515418502202643,0.27906976744186046,2.5e-05,66.96799993515015
13,0.2518333231001515,0.987,0.9047762337236022,0.8266666666666667,0.6602321897770671,0.9147121535181236,0.6658590308370045,0.16216216216216217,0.4,0.9317180616740088,0.23076923076923078,1.25e-05,67.2599458694458
14,0.13225161934721982,0.996,0.9726447094868147,0.9473684210526315,0.4224281712394179,0.835820895522388,0.7218061674008811,0.1125,0.6,0.8436123348017621,0.18947368421052632,1.25e-05,67.22825288772583
15,0.012066088640330389,0.998,0.9863223547434075,0.9736842105263158,1.2161765707091332,0.9339019189765458,0.6113069016152717,0.16666666666666666,0.26666666666666666,0.9559471365638766,0.20512820512820512,1.25e-05,67.02350902557373
16,0.0020092748689977294,0.999,0.9994802494802495,0.987012987012987,0.5337178942496348,0.6801705756929638,0.770337738619677,0.08074534161490683,0.8666666666666667,0.6740088105726872,0.14772727272727273,1.25e-05,66.8407609462738
17,0.07366111005070052,0.998,0.9736842105263157,0.972972972972973,0.5078802903938007,0.8017057569296375,0.7686490455212922,0.11,0.7333333333333333,0.8039647577092511,0.19130434782608696,6.25e-06,67.04154229164124
18,0.02991270273814776,0.999,0.986842105263158,0.9866666666666667,0.6468243853977208,0.8912579957356077,0.6859765051395008,0.14,0.4666666666666667,0.9052863436123348,0.2153846153846154,6.25e-06,67.14762711524963
19,0.00023161550280021616,1.0,1.0,1.0,0.5372827560332379,0.7526652452025586,0.7755506607929515,0.096,0.8,0.751101321585903,0.17142857142857143,6.25e-06,67.04450511932373
20,0.0009785181480445914,1.0,1.0,1.0,1.1037400013989274,0.8933901918976546,0.6870778267254039,0.14285714285714285,0.4666666666666667,0.9074889867841409,0.21875,6.25e-06,66.94054508209229
21,5.179609032739056e-05,1.0,1.0,1.0,0.8377996484440248,0.8699360341151386,0.6749632892804699,0.11666666666666667,0.4666666666666667,0.8832599118942731,0.18666666666666668,3.125e-06,66.83190774917603
